4.911,937.654,0.318
4.923,941.304,0.324
4.934,939.478,0.314
4.946,938.958,0.324
4.957,942.403,0.325
4.969,936.945,0.319
4.981,941.118,0.328
4.992,938.216,0.312
5.004,939.428,0.325
5.016,941.653,0.321
5.027,938.483,0.322
5.039,942.695,0.329
5.050,938.892,0.312
5.062,942.376,0.325
5.074,941.434,0.320
5.085,939.659,0.323
5.097,942.831,0.330
5.108,937.234,0.316
5.120,941.627,0.323
5.132,940.122,0.317
5.143,938.646,0.322
5.155,942.149,0.328
5.166,936.756,0.317
5.178,940.615,0.324
5.190,939.363,0.314
5.201,939.416,0.323
5.213,943.073,0.324
5.224,938.298,0.320
5.236,942.304,0.327
5.248,939.415,0.312
5.259,941.071,0.325
5.271,941.424,0.321
5.283,0.000,0.323
5.294,942.552,0.330
5.306,937.472,0.313
5.317,940.568,0.326
5.329,940.398,0.322
5.341,936.117,0.313
5.352,914.314,0.361
5.364,888.427,0.360
5.375,886.824,0.349
5.387,884.877,0.343
5.399,884.147,0.326
5.410,885.390,0.323
5.422,887.581,0.325
5.433,889.677,0.330
5.445,890.145,0.326
5.457,889.591,0.322
5.468,888.522,0.319
5.480,885.750,0.317
5.492,885.988,0.316
5.503,885.262,0.313
5.515,884.861,0.318
5.526,887.841,0.325
5.538,888.181,0.330
5.550,890.289,0.327
5.561,890.117,0.324
5.573,887.624,0.319
5.584,877.464,0.283
5.596,833.033,0.240
5.608,713.306,0.321
5.619,704.411,0.349
5.631,702.395,0.349
5.642,702.811,0.329
5.654,702.711,0.313
5.666,702.465,0.314
5.677,703.710,0.314
5.689,702.550,0.315
5.700,703.149,0.323
5.712,704.427,0.329
5.724,705.067,0.331
5.735,705.946,0.330
5.747,706.033,0.328
5.759,706.481,0.323
5.770,706.320,0.318
5.782,705.203,0.317
5.793,705.099,0.316
5.805,704.043,0.318
5.817,703.666,0.322
5.828,704.322,0.321
5.840,703.673,0.317
5.851,702.631,0.317
5.863,703.262,0.316
5.875,702.711,0.313
5.886,702.465,0.314
5.898,703.710,0.314
5.909,702.550,0.315
5.921,703.149,0.323
5.933,704.427,0.329
5.944,705.067,0.331
